trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Choice8,Stimulus,Choice5,Choice6,Choice7,Choice1,Choice2,Choice3,Choice4,Corr,StartPractice.keys,StartPractice.rt,GetReadyResp.keys,GetReadyResp.rt,Participant ID,date,expName,session,frameRate,
,,,,,,,,,,,,,,return,0.817023038864,,,9999999,2020_Aug_24_1453,Matrices,01,None,
,,,,,,,,,,,,,,,,return,1.07159090042,9999999,2020_Aug_24_1453,Matrices,01,None,
