Stimulus,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6,Choice7,Choice8,Corr,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StartPractice.keys,StartPractice.rt,GetReadyResp.keys,GetReadyResp.rt,key_resp_2.keys,key_resp_2.corr,ElapsedTime,key_resp_2.rt,session,Participant ID,date,expName,frameRate,
,,,,,,,,,,,,,,return,0.7735080718994141,,,,,,,01,9999999,2020_Dec_04_1720,Matrices,None,
,,,,,,,,,,,,,,,,return,0.7622230052947998,,,,,01,9999999,2020_Dec_04_1720,Matrices,None,
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix1Choice8.bmp,2,0,0,0,0,,,,,5,0,2.057173013687134,1.9621810913085938,01,9999999,2020_Dec_04_1720,Matrices,None,
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix2Choice8.bmp,5,0,1,1,1,,,,,4,0,3.581209897994995,0.8613951206207275,01,9999999,2020_Dec_04_1720,Matrices,None,
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix3Choice8.bmp,7,0,2,2,2,,,,,4,0,4.616940021514893,0.39184117317199707,01,9999999,2020_Dec_04_1720,Matrices,None,
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix4Choice8.bmp,2,0,3,3,3,,,,,4,0,5.303524971008301,0.14855289459228516,01,9999999,2020_Dec_04_1720,Matrices,None,
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix5Choice8.bmp,3,0,4,4,4,,,,,4,0,6.116597890853882,0.2738339900970459,01,9999999,2020_Dec_04_1720,Matrices,None,
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix6Choice8.bmp,2,0,5,5,5,,,,,4,0,7.46117091178894,0.813896894454956,01,9999999,2020_Dec_04_1720,Matrices,None,
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix7Choice8.bmp,5,0,6,6,6,,,,,4,0,8.561069965362549,0.5655941963195801,01,9999999,2020_Dec_04_1720,Matrices,None,
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix8Choice8.bmp,2,0,7,7,7,,,,,4,0,9.752847909927368,0.6567859649658203,01,9999999,2020_Dec_04_1720,Matrices,None,
../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice1.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice2.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice3.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice4.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice5.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice6.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice7.bmp,../../CompanionFolderForCognitiveTasks/MatricesImages/altBMatrix9Choice8.bmp,2,0,8,8,8,,,,,4,0,11.477458953857422,0.9394240379333496,01,9999999,2020_Dec_04_1720,Matrices,None,
